id,name,district_id,province_id,name_nep
710,Khaptad Chhededaha Rural Municipality,73,7,????? ?????? ??????????
711,Himali Rural Municipality,73,7,?????? ??????????
712,Bhimdatta Municipality,74,7,??????? ?????????
713,Purnavas Municipality,74,7,???????? ?????????
714,Vedkot Municipality,74,7,?????? ?????????
715,Dodhara Chadani Municipality,74,7,?????? ?????? ?????????
716,Shuklaphanta Municipality,74,7,??????????? ?????????
717,Belauri Municipality,74,7,?????? ?????????
718,Krishnapur Municipality,74,7,???????? ?????????
719,Beldadi Rural Municipality,74,7,??????? ??????????
720,Laljhadi Rural Municipality,74,7,??????? ??????????
721,Amargadhi Municipality,75,7,?????? ?????????
722,Parashuram Municipality,75,7,??????? ?????????
723,Alital Rural Municipality,75,7,?????? ??????????
724,Bhageshwor Rural Municipality,75,7,???????? ??????????
725,Navdurga Rural Municipality,75,7,???????? ??????????
726,Ajayameru Rural Municipality,75,7,??????? ??????????
727,Ganyapadhura Rural Municipality,75,7,?????????? ??????????
728,Dasharathchanda Municipality,76,7,???????? ?????????
729,Patan Municipality,76,7,???? ?????????
730,Melauli Municipality,76,7,?????? ?????????
731,Purchaudi Municipality,76,7,???????? ?????????
732,Surnaya Rural Municipality,76,7,??????? ??????????
733,Sigas Rural Municipality,76,7,????? ??????????
734,Shivnath Rural Municipality,76,7,?????? ??????????
735,Pancheshwor Rural Municipality,76,7,????????? ??????????
736,Dogadakedar Rural Municipality,76,7,?????????? ??????????
737,Dilasani Rural Municipality,76,7,???????? ??????????
738,Mahakali Municipality,77,7,??????? ?????????
739,Shailyashikhar Municipality,77,7,????????? ?????????
740,Malikarjun Rural Municipality,77,7,??????????? ??????????
741,Apihimal Rural Municipality,77,7,???????? ??????????
742,Duhun Rural Municipality,77,7,????? ??????????
743,Naugad Rural Municipality,77,7,????? ??????????
744,Marma Rural Municipality,77,7,?????? ??????????
745,Lekam Rural Municipality,77,7,???? ??????????
746,Byans Rural Municipality,77,7,?????? ??????????
